icd,term,out_cat,cat_resp,certlevel,source,include,note
J63.2,berylliosis,dx_inc,,0,icd_original,yes,
J63.3,graphite fibrosis (of lung),dx_inc,Pulmonary fibrosis,0,icd_original,yes,
J63.4,siderosis,dx_inc,Pulmonary fibrosis,1,icd_original,?,
J63.5,stannosis,dx_inc,Pulmonary fibrosis,0,icd_original,yes,
J63.8,pneumoconiosis due to other specified inorganic dusts,dx_inc,,0,icd_original,yes,
J64,unspecified pneumoconiosis,dx_inc,,0,icd_original,yes,
J65,pneumoconiosis associated with tuberculosis,dx_inc,,0,icd_original,yes,
J66,airway disease due to specific organic dust,dx_inc,,0,icd_original,yes,
J66.0,byssinosis,dx_inc,,0,icd_original,yes,
J66.1,flax-dresser disease,dx_inc,,0,icd_original,yes,
J66.2,cannabinosis,dx_inc,,0,icd_original,yes,
J66.8,airway disease due to other specific organic dusts,dx_inc,,0,icd_original,yes,
J67,hypersensitivity pneumonitis due to organic dust,dx_inc,Pulmonary fibrosis,0,icd_original,yes,
J67.0,farmer lung,dx_inc,,0,icd_original,yes,
J67.1,bagassosis,dx_inc,,0,icd_original,yes,
J67.2,bird fancier lung,dx_inc,,0,icd_original,yes,
J67.3,suberosis,dx_inc,,0,icd_original,yes,
J67.4,maltworker lung,dx_inc,,0,icd_original,yes,
J67.5,mushroom-worker lung,dx_inc,,0,icd_original,yes,
J67.6,maple-bark-stripper lung,dx_inc,,0,icd_original,yes,
J67.7,air-conditioner and humidifier lung,dx_inc,,0,icd_original,yes,
J67.8,hypersensitivity pneumonitis due to other organic dusts,dx_inc,,0,icd_original,yes,
J67.9,hypersensitivity pneumonitis due to unspecified organic dust,dx_inc,Pulmonary fibrosis,0,icd_original,yes,
J68,"respiratory conditions due to inhalation of chemicals, gases, fumes and vapours",dx_inc,,0,icd_original,yes,
J68.0,"bronchitis and pneumonitis due to chemicals, gases, fumes and vapours",dx_inc,,0,icd_original,yes,
J68.1,"pulmonary oedema due to chemicals, gases, fumes and vapours",dx_inc,,0,icd_original,yes,
J68.2,"upper respiratory inflammation due to chemicals, gases, fumes and vapours, not elsewhere classified",dx_inc,,0,icd_original,yes,
J68.3,"other acute and subacute respiratory conditions due to chemicals, gases, fumes and vapours",dx_inc,,0,icd_original,yes,
J68.4,"chronic respiratory conditions due to chemicals, gases, fumes and vapours",dx_inc,Pulmonary fibrosis,0,icd_original,yes,
J68.8,"other respiratory conditions due to chemicals, gases, fumes and vapours",dx_inc,,0,icd_original,yes,
J68.9,"unspecified respiratory condition due to chemicals, gases, fumes and vapours",dx_inc,,0,icd_original,yes,
J69,pneumonitis due to solids and liquids,dx_inc,,0,icd_original,yes,
J69.0,pneumonitis due to food and vomit,dx_inc,,0,icd_original,yes,
J69.1,pneumonitis due to oils and essences,dx_inc,,0,icd_original,yes,
J69.8,pneumonitis due to other solids and liquids,dx_inc,,0,icd_original,yes,
J70,respiratory conditions due to other external agents,dx_inc,,0,icd_original,yes,
J70.0,acute pulmonary manifestations due to radiation,dx_inc,,0,icd_original,yes,
J70.1,chronic and other pulmonary manifestations due to radiation,dx_inc,,0,icd_original,yes,
J70.2,acute drug-induced interstitial lung disorders,dx_inc,Pulmonary fibrosis,0,icd_original,yes,
J70.3,chronic drug-induced interstitial lung disorders,dx_inc,Pulmonary fibrosis,0,icd_original,yes,
J70.4,drug-induced interstitial lung disorders,dx_inc,Pulmonary fibrosis,0,icd_original,yes,
J70.8,respiratory conditions due to other specified external agents,dx_inc,,0,icd_original,yes,
J70.9,respiratory conditions due to unspecified external agent,dx_inc,,0,icd_original,yes,
J80,adult respiratory distress syndrome,dx_inc,,0,icd_original,yes,
J81,pulmonary oedema,dx_inc,,0,icd_original,yes,
J82,"pulmonary eosinophilia, not elsewhere classified",dx_inc,,0,icd_original,yes,
J84,other interstitial pulmonary diseases,dx_inc,,0,icd_original,yes,
J84.0,alveolar and parietoalveolar conditions,dx_inc,,0,icd_original,yes,
J84.1,other interstitial pulmonary diseases with fibrosis,dx_inc,Pulmonary fibrosis,0,icd_original,yes,
J84.8,other specified interstitial pulmonary diseases,dx_inc,Pulmonary fibrosis,0,icd_original,yes,
J84.9,"interstitial pulmonary disease, unspecified/nos",dx_inc,Pulmonary fibrosis,0,icd_original,yes,
J92.0,pleural plaque with presence of asbestos,dx_inc,Pulmonary fibrosis,0,icd_original,yes,
J94.8,"other specified pleural conditions, includes pleural fibrosis with calcification",dx_inc,Pulmonary fibrosis,0,icd_original,yes,
J98.2,interstitial emphysema,dx_inc,,1,icd_original,?,
J98.4,other disorders of lung,dx_inc,,0,icd_original,yes,
J99,"respiratory disorders in diseases classified elsewhere, includes fibrosing alveolitis associated with rheumatoid arthritis",dx_inc,Pulmonary fibrosis,0,icd_original,yes,
J99.0,rheumatoid lung disease,dx_inc,Pulmonary fibrosis,0,icd_original,yes,
J99.1,interstitial lung disease due to collagen - respiratory disorders in other diffuse connective tissue disorders vascular disease,dx_inc,Pulmonary fibrosis,0,icd_original,yes,
J99.8,"respiratory disorders in other diseases classified elsewhere, includes idiopathic pulmonary haemosiderosis",dx_inc,Pulmonary fibrosis,0,icd_original,yes,
M05.1D,rheumatoid lung disease,dx_inc,Pulmonary fibrosis,0,icd_original,yes,
M30.1,polyarteritis with lung involvement [churg-strauss],dx_inc,,0,icd_original,yes,
M31.3,wegener granulomatosis,dx_inc,,1,icd_original,?,include autoimmune diseases?
M32,systemic lupus erythematosus,dx_inc,,1,icd_original,?,include autoimmune diseases?
M32.0,drug-induced systemic lupus erythematosus,dx_inc,,1,icd_original,?,include autoimmune diseases?
M32.1,systemic lupus erythematosus with organ or system involvement,dx_inc,,1,icd_original,?,include autoimmune diseases?
M32.8,other forms of systemic lupus erythematosus,dx_inc,,1,icd_original,?,include autoimmune diseases?
M32.9,"systemic lupus erythematosus, unspecified",dx_inc,,1,icd_original,?,include autoimmune diseases?
M34,systemic sclerosis,dx_inc,,1,icd_original,?,include autoimmune diseases?
M34.0,progressive systemic sclerosis,dx_inc,,1,icd_original,?,include autoimmune diseases?
M34.8,lung disease with systemic sclerosis,dx_inc,Pulmonary fibrosis,0,icd_original,yes,include autoimmune diseases?
M34.9,"systemic sclerosis, unspecified",dx_inc,,1,icd_original,?,include autoimmune diseases?
M35,other systemic involvement of connective tissue,dx_inc,,1,icd_original,?,include autoimmune diseases?
M35.0,sicca syndrome [sjögren],dx_inc,,1,icd_original,?,include autoimmune diseases?
M35.1,other overlap syndromes,dx_inc,,1,icd_original,?,include autoimmune diseases?
M35.8,other specified systemic involvement of connective tissue,dx_inc,Pulmonary fibrosis,1,icd_original,?,
M35.9,"systemic involvement of connective tissue, unspecified",dx_inc,,1,icd_original,?,
M60,myositis,dx_inc,,1,icd_original,?,include autoimmune diseases?
M60.0,infective myositis,dx_inc,,1,icd_original,?,include autoimmune diseases?
M60.1,interstitial myositis,dx_inc,,1,icd_original,?,include autoimmune diseases?
M60.8,other myositis,dx_inc,,1,icd_original,?,include autoimmune diseases?
M60.9,"myositis, unspecified",dx_inc,,1,icd_original,?,include autoimmune diseases?
P27.8,pulmonary fibroplasia - other chronic respiratory diseases originating in the perinatal period,dx_inc,Pulmonary fibrosis,1,icd_original,?,perinatal?
